Time: 2024-11-14 15:11:42 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:18:06 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:19:02 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:20:28 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:20:33 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:20:33 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:02 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:03 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:04 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:04 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:04 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:06 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:07 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:07 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:07 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:07 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:08 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:08 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:08 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:08 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:09 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:09 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:09 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:09 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:09 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:10 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:10 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:10 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:11 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:11 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:11 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:11 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:11 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:12 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:12 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:12 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:16 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:21:24 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:22:14 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:22:23 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:22:50 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:22:57 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:28:18 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:28:30 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:30:49 | Referrer: http://localhost/scraper/scraper.php | URL: http://localhost/scraper/index.php | IP: ::1 | index
Time: 2024-11-14 15:51:51 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:51:53 | Referrer: Direct Access | URL: http://localhost/scraper/ | IP: ::1 | index
Time: 2024-11-14 15:52:09 | Referrer: Direct Access | URL: http://localhost/scraper/index.php | IP: ::1 | index
Time: 2024-11-14 15:52:30 | Referrer: http://localhost/scraper/scraper.php | URL: http://localhost/scraper/scraper.php | IP: ::1 | 5283nk
